test  1 epoch, acc: 50 %,  load:0.978897
test  11 epoch, acc: 61 %,  load:0.971557
test  21 epoch, acc: 71 %,  load:0.970920
test  31 epoch, acc: 85 %,  load:0.985672
test  41 epoch, acc: 90 %,  load:0.993802
test  51 epoch, acc: 87 %,  load:0.981668
test  61 epoch, acc: 84 %,  load:1.017400
test  71 epoch, acc: 91 %,  load:0.986488
test  81 epoch, acc: 92 %,  load:0.992803
test  91 epoch, acc: 91 %,  load:0.975386
test  101 epoch, acc: 91 %,  load:0.989844
test  111 epoch, acc: 92 %,  load:0.965677
test  121 epoch, acc: 91 %,  load:1.004697
test  131 epoch, acc: 91 %,  load:0.957355
test  141 epoch, acc: 92 %,  load:0.949702
test  151 epoch, acc: 92 %,  load:0.968000
test  161 epoch, acc: 92 %,  load:0.961375
test  171 epoch, acc: 92 %,  load:0.955864
test  181 epoch, acc: 91 %,  load:0.971128
test  191 epoch, acc: 91 %,  load:0.987622
