test  1 epoch, acc: 58 %,  load:1.408395
test  11 epoch, acc: 85 %,  load:1.419544
test  21 epoch, acc: 81 %,  load:1.417996
test  31 epoch, acc: 86 %,  load:1.396824
test  41 epoch, acc: 88 %,  load:1.421359
test  51 epoch, acc: 89 %,  load:1.406330
test  61 epoch, acc: 84 %,  load:1.414803
test  71 epoch, acc: 85 %,  load:1.427182
test  81 epoch, acc: 85 %,  load:1.429812
test  91 epoch, acc: 86 %,  load:1.413650
test  101 epoch, acc: 85 %,  load:1.410765
test  111 epoch, acc: 85 %,  load:1.390313
test  121 epoch, acc: 86 %,  load:1.399157
test  131 epoch, acc: 86 %,  load:1.409204
test  141 epoch, acc: 85 %,  load:1.404251
test  151 epoch, acc: 86 %,  load:1.409650
test  161 epoch, acc: 86 %,  load:1.408662
test  171 epoch, acc: 86 %,  load:1.393592
test  181 epoch, acc: 85 %,  load:1.416284
test  191 epoch, acc: 85 %,  load:1.405871
