test  1 epoch, acc: 57 %,  load:0.547492
test  11 epoch, acc: 70 %,  load:0.544685
test  21 epoch, acc: 71 %,  load:0.583215
test  31 epoch, acc: 78 %,  load:0.559600
test  41 epoch, acc: 88 %,  load:0.563054
test  51 epoch, acc: 85 %,  load:0.581621
test  61 epoch, acc: 88 %,  load:0.604549
test  71 epoch, acc: 85 %,  load:0.602482
test  81 epoch, acc: 90 %,  load:0.583339
test  91 epoch, acc: 92 %,  load:0.573462
test  101 epoch, acc: 89 %,  load:0.590773
test  111 epoch, acc: 91 %,  load:0.575696
test  121 epoch, acc: 90 %,  load:0.577446
test  131 epoch, acc: 91 %,  load:0.541087
test  141 epoch, acc: 91 %,  load:0.606018
test  151 epoch, acc: 91 %,  load:0.534774
test  161 epoch, acc: 91 %,  load:0.547418
test  171 epoch, acc: 91 %,  load:0.545645
test  181 epoch, acc: 90 %,  load:0.567027
test  191 epoch, acc: 91 %,  load:0.596287
