Team,Opponent,Goal Scored,Ball Possession %,Attempts,On-Target,Off-Target,Corners,Pass Accuracy %,Passes,Man of the Match
4,3,1,57,14,4,6,5,86,589,1
6,5,1,36,8,2,5,2,86,194,1
9,10,2,51,12,5,4,5,87,484,1
10,9,1,49,4,1,2,1,85,390,0
11,12,1,72,26,7,9,10,92,718,0
12,11,1,28,9,3,5,2,67,189,1
14,13,1,48,10,3,5,7,82,342,1
15,16,2,54,11,2,7,6,84,462,1
18,17,1,50,10,3,5,4,83,392,1
20,19,1,40,12,4,6,1,82,281,0
21,22,1,52,20,4,9,7,88,521,1
22,21,1,48,6,2,4,2,83,436,0
23,24,1,52,15,4,5,6,84,417,1
27,28,1,41,6,1,3,2,82,326,0
28,27,2,59,17,7,7,7,91,492,1
29,30,1,41,8,3,1,3,82,352,0
30,29,2,59,14,6,5,6,87,565,1
31,32,1,57,10,4,5,3,88,552,0
32,31,2,43,8,2,4,3,81,328,1
3,1,1,53,13,1,8,4,81,438,0
7,5,1,47,10,2,4,5,76,387,1
4,2,1,47,13,4,6,3,88,521,1
8,6,1,70,17,3,6,6,89,805,1
14,10,1,49,10,5,5,3,88,458,1
10,14,1,51,14,5,5,5,85,520,0
9,13,1,44,12,4,6,5,77,405,1
21,17,2,66,23,9,9,10,90,732,1
16,12,2,58,16,4,6,6,84,473,1
18,22,1,42,12,3,7,3,78,309,0
22,18,2,58,20,5,8,7,87,547,1
27,25,2,48,15,5,6,2,82,477,0
24,20,1,41,17,6,2,7,82,346,0
20,24,2,59,13,5,6,5,89,485,1
19,23,2,71,16,5,4,8,91,699,1
23,19,1,29,8,6,1,3,77,213,0
26,28,1,42,8,2,5,2,88,398,0
30,32,2,54,7,3,2,2,84,449,0
32,30,2,46,14,7,5,5,79,338,1
2,3,2,61,22,7,10,7,90,655,0
3,2,1,39,8,1,6,2,82,357,1
8,5,2,68,16,4,11,7,91,762,1
5,8,2,32,6,3,2,1,84,247,0
6,7,1,32,8,2,5,1,69,226,0
7,6,1,68,14,4,7,5,89,619,1
13,10,2,47,4,3,1,3,81,418,1
16,11,1,34,9,3,5,3,76,244,0
11,16,2,66,8,4,3,5,84,565,1
12,15,1,41,17,6,8,10,73,324,1
15,12,2,59,13,2,8,5,87,524,0
24,19,2,30,11,5,5,3,74,237,1
21,18,2,56,13,6,3,9,88,631,1
22,17,2,60,12,3,5,6,87,594,1
17,22,2,40,14,6,6,5,82,348,0
31,30,1,46,11,2,5,7,83,462,1
29,32,1,57,4,2,1,3,83,431,1
26,27,1,36,9,4,4,0,77,284,0
27,26,2,64,15,7,4,6,87,626,1
25,28,1,52,15,4,4,2,88,556,1
4,7,2,39,6,3,2,2,69,269,1
7,4,1,61,20,5,1,10,84,583,0
8,1,1,75,25,9,6,6,91,1137,0
1,8,1,25,6,1,3,5,72,284,1
15,14,1,54,22,7,8,5,81,626,1
14,15,1,46,15,3,10,4,79,539,0
21,20,2,47,21,10,7,8,83,398,1
30,25,2,44,11,4,4,6,83,453,0
23,22,1,37,12,3,6,3,73,271,1
29,28,1,48,14,4,7,2,78,516,0
28,29,1,51,16,2,9,7,82,571,1
9,4,2,58,11,2,7,3,81,524,1
21,25,1,57,26,9,7,8,89,557,0
25,21,2,43,8,3,3,4,83,370,1
28,23,2,57,12,2,4,6,80,525,1
1,15,2,38,13,7,4,6,69,399,0
15,1,2,62,17,3,10,8,82,753,1
9,25,1,40,19,5,8,4,86,342,1
15,28,2,54,22,7,11,8,79,622,1
28,15,1,46,11,1,6,4,79,479,0
25,28,2,43,12,4,3,4,88,510,1
15,9,2,61,15,3,8,6,83,547,0
