Team,Opponent,Goal Scored,Ball Possession %,Attempts,On-Target,Off-Target,Blocked,Corners,Offsides,Free Kicks,Saves,Pass Accuracy %,Passes,Distance Covered (Kms),Fouls Committed,Yellow Card,Yellow & Red,Red,Man of the Match,1st Goal,Round,PSO,Goals in PSO,Own goals,Own goal Time
1,2,5,40,13,7,3,3,6,3,11,0,78,306,118,22,0,0,0,1,12.0,1,0,0,-1.0,-1.0
2,1,0,60,6,0,3,3,2,1,25,2,86,511,105,10,0,0,0,0,-1.0,1,0,0,-1.0,-1.0
3,4,0,43,8,3,3,2,0,1,7,3,78,395,112,12,2,0,0,0,-1.0,1,0,0,-1.0,-1.0
4,3,1,57,14,4,6,4,5,1,13,3,86,589,111,6,0,0,0,1,89.0,1,0,0,-1.0,-1.0
5,6,0,64,13,3,6,4,5,0,14,2,86,433,101,22,1,0,0,0,-1.0,1,0,0,1.0,90.0
6,5,1,36,8,2,5,1,2,0,22,2,86,194,100,14,3,0,0,1,90.0,1,0,0,-1.0,-1.0
7,8,3,39,8,3,2,3,4,1,13,2,87,366,102,12,1,0,0,0,4.0,1,0,0,-1.0,-1.0
8,7,3,61,12,5,5,2,5,3,13,0,93,727,103,10,1,0,0,1,24.0,1,0,0,-1.0,-1.0
9,10,2,51,12,5,4,3,5,0,19,1,87,484,103,16,1,0,0,1,58.0,1,0,0,-1.0,-1.0
10,9,1,49,4,1,2,1,1,0,16,4,85,390,111,19,3,0,0,0,62.0,1,0,0,1.0,81.0
11,12,1,72,26,7,9,10,10,0,15,2,92,718,101,10,0,0,0,0,19.0,1,0,0,-1.0,-1.0
12,11,1,28,9,3,5,1,2,0,10,7,67,189,105,15,0,0,0,1,23.0,1,0,0,-1.0,-1.0
13,14,0,52,18,6,7,5,3,5,21,2,85,394,104,10,1,0,0,0,-1.0,1,0,0,-1.0,-1.0
14,13,1,48,10,3,5,2,7,3,15,6,82,342,110,18,2,0,0,1,59.0,1,0,0,-1.0,-1.0
15,16,2,54,11,2,7,2,6,2,17,2,84,462,104,20,2,0,0,1,32.0,1,0,0,-1.0,-1.0
16,15,0,46,14,2,5,7,5,1,22,1,84,388,101,16,1,0,0,0,-1.0,1,0,0,1.0,32.0
17,18,0,50,10,3,3,4,5,1,18,2,83,428,107,18,2,0,0,0,-1.0,1,0,0,-1.0,-1.0
18,17,1,50,10,3,5,2,4,3,19,3,83,392,109,15,2,0,0,1,56.0,1,0,0,-1.0,-1.0
19,20,0,60,25,9,9,7,8,1,17,3,88,595,110,10,2,0,0,1,-1.0,1,0,0,-1.0,-1.0
20,19,1,40,12,4,6,2,1,2,11,9,82,281,106,15,2,0,0,0,35.0,1,0,0,-1.0,-1.0
21,22,1,52,20,4,9,7,7,1,19,1,88,521,103,12,1,0,0,1,20.0,1,0,0,-1.0,-1.0
22,21,1,48,6,2,4,0,2,0,13,3,83,436,108,19,3,0,0,0,50.0,1,0,0,-1.0,-1.0
23,24,1,52,15,4,5,6,6,1,23,0,84,417,102,20,1,0,0,1,65.0,1,0,0,-1.0,-1.0
24,23,0,48,5,0,2,3,5,0,21,3,79,351,103,23,2,0,0,0,-1.0,1,0,0,-1.0,-1.0
25,26,3,61,15,6,7,2,9,1,21,2,89,544,102,17,3,0,0,1,47.0,1,0,0,-1.0,-1.0
26,25,0,39,6,2,4,0,3,3,18,2,82,317,100,18,5,0,0,0,-1.0,1,0,0,-1.0,-1.0
27,28,1,41,6,1,3,2,2,2,11,5,82,326,103,14,0,0,0,0,11.0,1,0,0,-1.0,-1.0
28,27,2,59,17,7,7,3,7,3,16,0,91,492,105,8,1,0,0,1,35.0,1,0,0,-1.0,-1.0
29,30,1,41,8,3,1,4,3,2,10,4,82,352,93,15,2,0,1,0,39.0,1,0,0,-1.0,-1.0
30,29,2,59,14,6,5,3,6,1,17,2,87,565,101,9,1,0,0,1,6.0,1,0,0,-1.0,-1.0
31,32,1,57,10,4,5,1,3,3,18,1,88,552,110,8,1,0,0,0,37.0,1,0,0,1.0,37.0
32,31,2,43,8,2,4,2,3,3,11,3,81,328,107,15,2,0,0,1,60.0,1,0,0,-1.0,-1.0
1,3,3,47,11,3,5,3,7,0,10,0,76,380,115,11,1,0,0,1,59.0,1,0,0,-1.0,-1.0
3,1,1,53,13,1,8,4,4,0,11,1,81,438,110,10,1,0,0,0,47.0,1,0,0,1.0,47.0
7,5,1,47,10,2,4,4,5,1,24,4,76,387,105,19,1,0,0,1,4.0,1,0,0,-1.0,-1.0
5,7,0,53,16,4,10,2,7,1,20,1,77,466,107,23,1,0,0,0,-1.0,1,0,0,-1.0,-1.0
4,2,1,47,13,4,6,3,3,1,15,3,88,521,101,10,0,0,0,1,23.0,1,0,0,-1.0,-1.0
2,4,0,53,8,3,3,2,4,2,11,3,86,590,100,13,0,0,0,0,-1.0,1,0,0,-1.0,-1.0
6,8,0,30,5,0,5,0,2,2,15,2,69,219,106,14,2,0,0,0,-1.0,1,0,0,-1.0,-1.0
