iid,gender,pid,match,int_corr,samerace,dec_o,age,income,career,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1
1,0,11,0,0.14,0,0,21,"69,487.00",lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,15,20,20,15,15,15,6,8,8,8,7
1,0,12,0,0.54,0,0,21,"69,487.00",lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,15,20,20,15,15,15,6,8,8,8,7
1,0,13,1,0.16,1,1,21,"69,487.00",lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,15,20,20,15,15,15,6,8,8,8,7
1,0,14,1,0.61,0,1,21,"69,487.00",lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,15,20,20,15,15,15,6,8,8,8,7
1,0,15,1,0.21,0,1,21,"69,487.00",lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,15,20,20,15,15,15,6,8,8,8,7
1,0,16,0,0.25,0,1,21,"69,487.00",lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,15,20,20,15,15,15,6,8,8,8,7
1,0,17,0,0.34,0,0,21,"69,487.00",lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,15,20,20,15,15,15,6,8,8,8,7
1,0,18,0,0.5,0,0,21,"69,487.00",lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,15,20,20,15,15,15,6,8,8,8,7
1,0,19,1,0.28,0,1,21,"69,487.00",lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,15,20,20,15,15,15,6,8,8,8,7
1,0,20,0,-0.36,0,0,21,"69,487.00",lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,15,20,20,15,15,15,6,8,8,8,7
2,0,11,0,0.29,1,0,24,"65,929.00",law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,45,5,25,20,0,5,7,5,10,8,3
2,0,12,0,0.18,1,0,24,"65,929.00",law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,45,5,25,20,0,5,7,5,10,8,3
2,0,13,0,0.1,0,1,24,"65,929.00",law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,45,5,25,20,0,5,7,5,10,8,3
2,0,14,1,-0.21,1,1,24,"65,929.00",law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,45,5,25,20,0,5,7,5,10,8,3
2,0,15,0,0.32,0,1,24,"65,929.00",law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,45,5,25,20,0,5,7,5,10,8,3
2,0,16,0,0.73,1,1,24,"65,929.00",law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,45,5,25,20,0,5,7,5,10,8,3
2,0,17,0,0.6,1,0,24,"65,929.00",law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,45,5,25,20,0,5,7,5,10,8,3
2,0,18,0,0.07,1,1,24,"65,929.00",law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,45,5,25,20,0,5,7,5,10,8,3
2,0,19,1,0.11,1,1,24,"65,929.00",law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,45,5,25,20,0,5,7,5,10,8,3
2,0,20,0,0.39,1,0,24,"65,929.00",law,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,45,5,25,20,0,5,7,5,10,8,3
3,0,11,0,-0.24,1,0,25,,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,35,10,35,10,10,0,8,9,8,9,8
3,0,12,0,-0.14,1,0,25,,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,35,10,35,10,10,0,8,9,8,9,8
3,0,13,0,0.09,0,1,25,,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,35,10,35,10,10,0,8,9,8,9,8
3,0,14,0,-0.04,1,1,25,,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,35,10,35,10,10,0,8,9,8,9,8
3,0,15,0,-0.14,0,1,25,,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,35,10,35,10,10,0,8,9,8,9,8
3,0,16,0,-0.3,1,1,25,,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,35,10,35,10,10,0,8,9,8,9,8
3,0,17,0,-0.26,1,0,25,,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,35,10,35,10,10,0,8,9,8,9,8
3,0,18,0,0.29,1,0,25,,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,35,10,35,10,10,0,8,9,8,9,8
3,0,19,0,-0.15,1,1,25,,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,35,10,35,10,10,0,8,9,8,9,8
3,0,20,0,-0.47,1,0,25,,Economist,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,35,10,35,10,10,0,8,9,8,9,8
4,0,11,0,-0.18,1,0,23,"37,754.00",lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,20,20,20,20,10,10,7,8,9,7,8
4,0,12,0,-0.18,1,0,23,"37,754.00",lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,20,20,20,20,10,10,7,8,9,7,8
4,0,13,0,0.05,0,1,23,"37,754.00",lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,20,20,20,20,10,10,7,8,9,7,8
4,0,14,1,-0.18,1,1,23,"37,754.00",lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,20,20,20,20,10,10,7,8,9,7,8
4,0,15,0,0.21,0,1,23,"37,754.00",lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,20,20,20,20,10,10,7,8,9,7,8
4,0,16,0,0.37,1,1,23,"37,754.00",lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,20,20,20,20,10,10,7,8,9,7,8
4,0,17,0,0.35,1,1,23,"37,754.00",lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,20,20,20,20,10,10,7,8,9,7,8
4,0,18,0,0.15,1,0,23,"37,754.00",lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,20,20,20,20,10,10,7,8,9,7,8
4,0,19,1,-0.47,1,1,23,"37,754.00",lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,20,20,20,20,10,10,7,8,9,7,8
4,0,20,0,-0.19,1,0,23,"37,754.00",lawyer/policy work,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,20,20,20,20,10,10,7,8,9,7,8
5,0,11,0,-0.43,1,0,21,"86,340.00",lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,20,5,25,25,10,15,6,3,6,10,8
5,0,12,0,0,1,0,21,"86,340.00",lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,20,5,25,25,10,15,6,3,6,10,8
5,0,13,0,-0.17,0,1,21,"86,340.00",lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,20,5,25,25,10,15,6,3,6,10,8
5,0,14,1,0.08,1,1,21,"86,340.00",lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,20,5,25,25,10,15,6,3,6,10,8
5,0,15,0,-0.16,0,0,21,"86,340.00",lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,20,5,25,25,10,15,6,3,6,10,8
5,0,16,0,0.06,1,0,21,"86,340.00",lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,20,5,25,25,10,15,6,3,6,10,8
5,0,17,0,-0.05,1,0,21,"86,340.00",lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,20,5,25,25,10,15,6,3,6,10,8
5,0,18,0,0.07,1,0,21,"86,340.00",lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,20,5,25,25,10,15,6,3,6,10,8
5,0,19,1,-0.13,1,1,21,"86,340.00",lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,20,5,25,25,10,15,6,3,6,10,8
5,0,20,0,-0.06,1,0,21,"86,340.00",lawyer,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,20,5,25,25,10,15,6,3,6,10,8
6,0,11,0,0.33,0,0,23,"60,304.00",lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,10,25,20,25,5,15,5,7,8,9,5
6,0,12,0,0.37,0,0,23,"60,304.00",lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,10,25,20,25,5,15,5,7,8,9,5
6,0,13,0,-0.51,1,1,23,"60,304.00",lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,10,25,20,25,5,15,5,7,8,9,5
6,0,14,1,0.12,0,1,23,"60,304.00",lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,10,25,20,25,5,15,5,7,8,9,5
6,0,15,0,0.35,0,1,23,"60,304.00",lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,10,25,20,25,5,15,5,7,8,9,5
6,0,16,0,0.19,0,1,23,"60,304.00",lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,10,25,20,25,5,15,5,7,8,9,5
6,0,17,0,0.47,0,0,23,"60,304.00",lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,10,25,20,25,5,15,5,7,8,9,5
6,0,18,0,0.03,0,0,23,"60,304.00",lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,10,25,20,25,5,15,5,7,8,9,5
6,0,19,1,0.46,0,1,23,"60,304.00",lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,10,25,20,25,5,15,5,7,8,9,5
6,0,20,0,0.43,0,0,23,"60,304.00",lawyer,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,10,25,20,25,5,15,5,7,8,9,5
7,0,11,0,0.19,0,0,22,"54,620.00",Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,15,15,25,20,15,10,6,6,5,7,7
7,0,12,0,0.21,0,1,22,"54,620.00",Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,15,15,25,20,15,10,6,6,5,7,7
7,0,13,0,0.52,1,1,22,"54,620.00",Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,15,15,25,20,15,10,6,6,5,7,7
7,0,14,1,-0.46,0,1,22,"54,620.00",Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,15,15,25,20,15,10,6,6,5,7,7
7,0,15,0,-0.27,0,1,22,"54,620.00",Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,15,15,25,20,15,10,6,6,5,7,7
7,0,16,0,0.59,0,1,22,"54,620.00",Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,15,15,25,20,15,10,6,6,5,7,7
7,0,17,0,0.31,0,0,22,"54,620.00",Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,15,15,25,20,15,10,6,6,5,7,7
7,0,18,0,0.08,0,1,22,"54,620.00",Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,15,15,25,20,15,10,6,6,5,7,7
7,0,19,1,-0.34,0,1,22,"54,620.00",Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,15,15,25,20,15,10,6,6,5,7,7
7,0,20,0,-0.16,0,0,22,"54,620.00",Law,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,15,15,25,20,15,10,6,6,5,7,7
8,0,11,0,-0.03,1,0,25,,Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8
8,0,12,1,-0.11,1,1,25,,Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8
8,0,13,1,0.42,0,1,25,,Journalist,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,9.09,18.18,27.27,18.18,18.18,9.09,7,4,8,8,8
